潮汕,#genre#
第一剧场,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077f5ca035/index.m3u8?m3u8_level=2
风云足球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077160c04a/index.m3u8?m3u8_level=2
高尔夫网球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807743b61bb/index.m3u8?m3u8_level=2
世界地理,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/index.m3u8?m3u8_level=2
央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/index.m3u8?m3u8_level=2
CCTV1,http://sgl.vpsyun.cc:4000/udp/239.253.238.77:8000
CCTV2,http://sgl.vpsyun.cc:4000/udp/239.253.238.234:8000
CCTV3,http://sgl.vpsyun.cc:4000/udp/239.253.238.4:8000
CCTV4,http://sgl.vpsyun.cc:4000/udp/239.253.238.111:8000
CCTV5,http://sgl.vpsyun.cc:4000/udp/239.253.238.6:8000
CCTV5+,http://sgl.vpsyun.cc:4000/udp/239.253.238.80:8000
CCTV6,http://sgl.vpsyun.cc:4000/udp/239.253.238.7:8000
CCTV7,http://sgl.vpsyun.cc:4000/udp/239.253.238.235:8000
CCTV8,http://sgl.vpsyun.cc:4000/udp/239.253.238.9:8000
CCTV9,http://sgl.vpsyun.cc:4000/udp/239.253.238.79:8000
CCTV10,http://sgl.vpsyun.cc:4000/udp/239.253.238.236:8000
CCTV11,http://sgl.vpsyun.cc:4000/udp/239.253.238.12:8000
CCTV12,http://sgl.vpsyun.cc:4000/udp/239.253.238.237:8000
CCTV13,http://sgl.vpsyun.cc:4000/udp/239.253.238.14:8000
CCTV14,http://sgl.vpsyun.cc:4000/udp/239.253.238.238:8000
CCTV15,http://sgl.vpsyun.cc:4000/udp/239.253.238.16:8000
CCTV17,http://sgl.vpsyun.cc:4000/udp/239.253.238.168:8000
CGTV,http://sgl.vpsyun.cc:4000/udp/239.253.238.17:8000
CETV1,http://sgl.vpsyun.cc:4000/udp/239.253.238.110:8000
CETV2,http://sgl.vpsyun.cc:4000/udp/239.253.238.107:8000
CETV4,http://sgl.vpsyun.cc:4000/udp/239.253.238.108:8000
CCTV1,http://www.cjtt.love:9307/rtp/239.253.250.77:8000
CCTV2,http://www.cjtt.love:9307/rtp/239.253.250.234:8000
CCTV3,http://www.cjtt.love:9307/rtp/239.253.250.4:8000
CCTV4,http://www.cjtt.love:9307/rtp/239.253.250.111:8000
CCTV5,http://www.cjtt.love:9307/rtp/239.253.250.6:8000
CCTV5+,http://www.cjtt.love:9307/rtp/239.253.250.80:8000
CCTV6,http://www.cjtt.love:9307/rtp/239.253.250.7:8000
CCTV7,http://www.cjtt.love:9307/rtp/239.253.250.235:8000
CCTV8,http://www.cjtt.love:9307/rtp/239.253.250.9:8000
CCTV9,http://www.cjtt.love:9307/rtp/239.253.250.79:8000
CCTV10,http://www.cjtt.love:9307/rtp/239.253.250.236:8000
CCTV11,http://www.cjtt.love:9307/rtp/239.253.250.12:8000
CCTV12,http://www.cjtt.love:9307/rtp/239.253.250.237:8000
CCTV13,http://www.cjtt.love:9307/rtp/239.253.250.14:8000
CCTV14,http://www.cjtt.love:9307/rtp/239.253.250.238:8000
CCTV15,http://www.cjtt.love:9307/rtp/239.253.250.16:8000
CCTV17,http://www.cjtt.love:9307/rtp/239.253.250.168:8000
CGTV,http://www.cjtt.love:9307/rtp/239.253.250.17:8000
CETV1,http://www.cjtt.love:9307/rtp/239.253.250.110:8000
CETV2,http://www.cjtt.love:9307/rtp/239.253.250.107:8000
CETV4,http://www.cjtt.love:9307/rtp/239.253.250.108:8000
CCTV1,http://www.sd966.cn:12314/rtp/239.253.252.77:8000
CCTV2,http://www.sd966.cn:12314/rtp/239.253.252.234:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.4:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.124:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.129:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.191:8000
CCTV4,http://www.sd966.cn:12314/rtp/239.253.252.111:8000
CCTV5,http://www.sd966.cn:12314/rtp/239.253.252.6:8000
CCTV5,http://www.sd966.cn:12314/rtp/239.253.252.192:8000
央视网5,http://www.sd966.cn:12314/rtp/239.253.252.109:8000
央视网5,http://www.sd966.cn:12314/rtp/239.253.252.131:8000
CCTV5+,http://www.sd966.cn:12314/rtp/239.253.252.80:8000
CCTV6,http://www.sd966.cn:12314/rtp/239.253.252.7:8000
CCTV6,http://www.sd966.cn:12314/rtp/239.253.252.193:8000
CCTV7,http://www.sd966.cn:12314/rtp/239.253.252.235:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.211:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.9:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.194:8000
CCTV9,http://www.sd966.cn:12314/rtp/239.253.252.79:8000
CCTV10,http://www.sd966.cn:12314/rtp/239.253.252.236:8000
CCTV11,http://www.sd966.cn:12314/rtp/239.253.252.12:8000
CCTV12,http://www.sd966.cn:12314/rtp/239.253.252.237:8000
CCTV13,http://www.sd966.cn:12314/rtp/239.253.252.14:8000
CCTV14,http://www.sd966.cn:12314/rtp/239.253.252.238:8000
CCTV14,http://www.sd966.cn:12314/rtp/239.253.252.223:8000
CCTV15,http://www.sd966.cn:12314/rtp/239.253.252.16:8000
CCTV17,http://www.sd966.cn:12314/rtp/239.253.252.168:8000
CCTV1,http://router.bingyu.in:40000/rtp/239.253.252.77:8000
CCTV2,http://router.bingyu.in:40000/rtp/239.253.252.234:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.4:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.124:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.129:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.191:8000
CCTV4,http://router.bingyu.in:40000/rtp/239.253.252.111:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.6:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.192:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.109:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.131:8000
CCTV5+,http://router.bingyu.in:40000/rtp/239.253.252.80:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.7:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.193:8000
CCTV7,http://router.bingyu.in:40000/rtp/239.253.252.235:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.211:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.9:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.194:8000
